Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,81,108,100,120,128,113,97
7:00 AM,130,153,154,171,166,112,103
8:00 AM,358,343,329,368,314,156,107
9:00 AM,655,622,578,517,719,199,130
10:00 AM,611,731,550,534,695,204,135
11:00 AM,546,631,491,550,591,232,146
12:00 PM,792,723,632,685,754,268,136
1:00 PM,746,680,618,683,752,227,144
2:00 PM,689,693,512,562,690,245,161
3:00 PM,701,600,476,530,597,232,151
4:00 PM,575,591,505,582,586,219,158
5:00 PM,493,545,483,493,627,183,141
6:00 PM,659,593,421,534,448,165,128
7:00 PM,427,462,410,483,382,161,122
8:00 PM,345,336,295,316,330,135,131
9:00 PM,254,245,259,235,219,129,121
10:00 PM,194,157,158,164,152,112,119
11:00 PM,163,172,144,144,147,108,107
12:00 AM,88,140,123,131,135,110,98
1:00 AM,74,107,123,128,111,102,100
2:00 AM,88,104,93,122,103,99,93
3:00 AM,79,95,95,119,109,94,95
4:00 AM,78,100,87,119,110,104,97
5:00 AM,80,99,103,123,104,107,91
