Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,62,21,32,27,34,20,28
7:00 AM,69,80,78,64,115,40,38
8:00 AM,383,383,373,328,350,66,51
9:00 AM,497,547,463,491,581,110,60
10:00 AM,445,459,410,444,438,106,66
11:00 AM,362,400,343,341,336,91,72
12:00 PM,501,507,476,425,477,114,68
1:00 PM,412,438,384,309,445,125,94
2:00 PM,343,362,303,310,353,159,95
3:00 PM,361,343,272,258,374,129,70
4:00 PM,404,423,341,380,439,148,95
5:00 PM,427,437,393,452,553,153,105
6:00 PM,667,567,493,586,459,97,98
7:00 PM,496,463,458,502,350,139,70
8:00 PM,347,343,280,317,269,95,74
9:00 PM,241,255,294,255,214,89,50
10:00 PM,147,143,136,194,189,59,64
11:00 PM,98,195,89,117,102,46,54
12:00 AM,35,52,83,70,87,58,51
1:00 AM,28,37,41,47,53,46,37
2:00 AM,20,32,55,19,44,22,36
3:00 AM,22,22,28,18,31,21,29
4:00 AM,24,21,25,13,31,16,27
5:00 AM,22,18,33,31,31,29,32
