,Mondays,Tuesdays,Wednesdays,Thursdays,Fridays,Saturdays,Sundays
11:00 AM,90,129,86,129,112,27,16
11:15 AM,171,237,161,177,153,26,3
11:30 AM,334,338,367,310,300,86,11
11:45 AM,549,573,550,519,432,77,6
12:00 PM,1126,1072,974,1014,774,117,8
12:15 PM,1202,1046,1221,1168,1051,124,17
12:30 PM,1011,934,1119,1153,906,118,2
12:45 PM,736,791,935,904,808,117,5
1:00 PM,557,598,638,709,606,100,6
1:15 PM,486,373,469,512,455,92,5
1:30 PM,350,351,422,355,298,67,4
1:45 PM,214,234,235,283,239,71,3
2:00 PM,103,124,128,116,171,28,12
