	Mondays	Tuesdays	Wednesdays	Thursdays	Fridays	Saturdays	Sundays
6:00 AM	169	181	233	210	233	173	86
7:00 AM	226	238	282	263	280	183	100
8:00 AM	432	426	458	383	465	196	101
9:00 AM	583	676	647	632	573	269	130
10:00 AM	734	792	729	875	726	241	151
11:00 AM	884	1016	900	1018	894	255	146
12:00 PM	1314	1510	1418	1544	1434	318	184
1:00 PM	1127	1192	1175	1215	1138	348	217
2:00 PM	1027	923	1028	1045	933	374	199
3:00 PM	841	890	837	950	878	361	237
4:00 PM	907	1013	925	1105	988	384	231
5:00 PM	821	821	931	917	838	339	182
6:00 PM	896	981	993	996	774	308	192
7:00 PM	652	654	804	792	583	291	190
8:00 PM	467	439	614	592	412	278	167
9:00 PM	380	391	459	483	333	203	154
10:00 PM	288	324	361	367	310	157	155
11:00 PM	231	263	274	272	229	156	139
12:00 AM	182	229	239	216	250	199	143
1:00 AM	172	205	223	211	243	190	122
2:00 AM	193	191	228	214	227	182	118
3:00 AM	181	183	223	217	224	172	126
4:00 AM	181	189	239	224	235	186	124
5:00 AM	182	180	234	208	227	176	105
