Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,185,180,193,196,202,161,151
7:00 AM,435,395,384,440,408,259,202
8:00 AM,766,664,719,702,785,421,197
9:00 AM,915,774,787,848,825,436,219
10:00 AM,847,719,699,760,749,390,264
11:00 AM,760,797,773,836,859,452,261
12:00 PM,1097,1061,1083,1172,1174,553,291
1:00 PM,911,967,831,1002,853,467,339
2:00 PM,728,702,703,718,642,339,305
3:00 PM,644,689,663,709,645,343,369
4:00 PM,753,758,648,675,668,385,296
5:00 PM,948,977,867,788,1029,367,228
6:00 PM,1027,983,917,913,891,274,245
7:00 PM,588,676,513,618,623,233,198
8:00 PM,369,425,343,392,371,179,198
9:00 PM,292,313,313,342,250,153,182
10:00 PM,149,186,214,163,174,166,150
11:00 PM,93,120,123,80,73,116,134
12:00 AM,38,92,91,50,54,63,134
1:00 AM,33,55,82,59,45,49,129
2:00 AM,24,38,71,34,36,38,115
3:00 AM,74,75,94,79,101,91,121
4:00 AM,85,105,128,136,140,133,118
5:00 AM,132,117,151,143,145,142,122
