Time,Monday,Tuesday,Wednesday,Thursday,Friday
11:00 AM,202,178,165,191,131
11:30 AM,427,444,404,344,397
12:00 PM,1304,1189,1200,1227,929
12:30 PM,1275,1170,1372,1132,1173
1:00 PM,682,718,955,755,808
1:30 PM,333,381,488,424,369
2:00 PM,142,146,181,164,180
